city,state,total_records,avg_arrival_delay,max_arrival_delay
Königslutter,Niedersachsen,292,0.67,27.0
Jena,Thüringen,2306,0.66,33.0
Steinen,Baden-Württemberg,640,0.66,18.0
Kirchzarten,Baden-Württemberg,609,0.66,34.0
Schwarzenfeld ,Bayern,304,0.66,13.0
Grünstadt,Rheinland-Pfalz,608,0.66,10.0
 Pforzheim,Baden-Württemberg,540,0.66,28.0
Langenau (Württ),Baden-Württemberg,492,0.66,22.0
Hattingen ,Nordrhein-Westfalen,554,0.66,16.0
Wernberg,Bayern,304,0.65,12.0
Emskirchen,Bayern,451,0.65,24.0
Ebersberg (Oberbay),Bayern,536,0.64,11.0
Neupetershain,Brandenburg,291,0.64,23.0
Cottbus,Brandenburg,974,0.64,47.0
Freiburg,Baden-Württemberg,2786,0.64,67.0
Merseburg,Sachsen-Anhalt,665,0.64,43.0
Hermsdorf-Klosterlausnitz,Thüringen,436,0.63,30.0
Lindau,Bayern,565,0.63,33.0
Herrenberg,Baden-Württemberg,1057,0.63,26.0
Markkleeberg,Sachsen,3046,0.63,29.0
Tamm ,Baden-Württemberg,691,0.63,38.0
Tornesch,Schleswig-Holstein,694,0.62,12.0
Arnstadt,Thüringen,885,0.62,58.0
Neukirchen b Sulzbach-Ro,Bayern,462,0.61,17.0
Bad Schandau,Sachsen,477,0.61,22.0
Oberkotzau,Bayern,923,0.6,38.0
Rüdesheim am Rhein,Hessen,383,0.6,56.0
Bad Kösen,Sachsen-Anhalt,549,0.6,24.0
Kaiserslautern,Rheinland-Pfalz,1147,0.6,25.0
Oberursel,Hessen,925,0.59,25.0
Mockrehna,Sachsen,407,0.59,21.0
Guben,Brandenburg,348,0.59,35.0
Prisdorf,Schleswig-Holstein,694,0.59,12.0
Zeitz,Sachsen-Anhalt,378,0.59,32.0
Neu-Eichenberg,Hessen,762,0.59,27.0
Uetze,Niedersachsen,318,0.59,13.0
Roth,Bayern,910,0.59,55.0
Leipzig,Sachsen,17669,0.58,82.0
Eisenhüttenstadt,Brandenburg,366,0.58,44.0
Twistringen,Niedersachsen,366,0.58,18.0
Weyhe,Niedersachsen,542,0.58,16.0
Niedernhausen,Hessen,953,0.58,43.0
Gera,Thüringen,1921,0.58,38.0
Schiffweiler,Saarland,486,0.58,27.0
Salzgitter -Ringelheim,Niedersachsen,504,0.57,27.0
Bad Malente-Gremsmühlen,Schleswig-Holstein,543,0.57,22.0
Homburg (Saar),Saarland,943,0.57,51.0
Blankenfelde ,Brandenburg,397,0.57,23.0
Erfurt,Thüringen,2606,0.57,89.0
Gottenheim,Baden-Württemberg,808,0.56,30.0
Fredersdorf ,Brandenburg,892,0.55,23.0
Hohen Neuendorf OTBorgsdo,Brandenburg,900,0.54,19.0
Friedrichshafen,Baden-Württemberg,1301,0.54,28.0
Amberg,Bayern,327,0.54,30.0
Saarbrücken,Saarland,5576,0.54,67.0
Kahla (Thür),Thüringen,520,0.54,20.0
Bad Dürkheim,Rheinland-Pfalz,573,0.54,10.0
Grünberg,Hessen,354,0.54,17.0
Immenhausen,Hessen,479,0.53,106.0
Marbach am Neckar,Baden-Württemberg,407,0.53,43.0
Altenbeken,Nordrhein-Westfalen,848,0.53,46.0
Goslar / Oker,Niedersachsen,448,0.53,26.0
Paderborn,Nordrhein-Westfalen,899,0.53,21.0
Bad Münder am Deister,Niedersachsen,496,0.53,30.0
Meckenheim,Nordrhein-Westfalen,1436,0.53,28.0
Eilenburg,Sachsen,1236,0.53,24.0
Aschersleben,Sachsen-Anhalt,527,0.53,24.0
Burgdorf,Niedersachsen,526,0.52,9.0
Eutin,Schleswig-Holstein,613,0.52,23.0
Goslar,Niedersachsen,783,0.51,24.0
Springe,Niedersachsen,1593,0.51,31.0
Grimma,Sachsen,288,0.51,12.0
Wrist,Schleswig-Holstein,466,0.51,16.0
Kehl,Baden-Württemberg,317,0.5,10.0
Buxtehude,Niedersachsen,916,0.5,50.0
Waßmannsdorf,Brandenburg,1745,0.49,32.0
Dillingen,Bayern,319,0.49,11.0
Döbeln,Sachsen,337,0.49,30.0
Hann.Münden-Hedemünden,Niedersachsen,319,0.49,20.0
Grebenstein,Hessen,483,0.48,105.0
Mittweida,Sachsen,357,0.48,40.0
Lage ,Nordrhein-Westfalen,497,0.48,15.0
Hattenhofen,Bayern,330,0.48,40.0
Ascheberg (Holstein),Schleswig-Holstein,589,0.48,23.0
Horka,Sachsen,272,0.48,27.0
Montabaur,Rheinland-Pfalz,198,0.48,26.0
Kassel,Hessen,3789,0.47,109.0
Großheringen,Thüringen,279,0.47,14.0
Bad Pyrmont,Niedersachsen,307,0.47,29.0
Bernau,Brandenburg,911,0.47,31.0
Burgdorf ,Niedersachsen,622,0.46,9.0
Bad Kissingen,Bayern,304,0.46,27.0
Nidda,Hessen,524,0.46,10.0
Birkenwerder,Brandenburg,1418,0.45,20.0
Dillenburg,Hessen,554,0.45,28.0
Mammendorf,Bayern,712,0.45,43.0
Pinneberg,Schleswig-Holstein,3125,0.45,21.0
Panketal,Brandenburg,1821,0.44,31.0
Bargteheide,Schleswig-Holstein,445,0.44,19.0
Strausberg,Brandenburg,1429,0.44,27.0
Friedrichsdorf (Taunus),Hessen,994,0.44,41.0
Schönefeld,Brandenburg,3021,0.44,38.0
Burgwedel,Niedersachsen,284,0.43,25.0
Hohen Neuendorf,Brandenburg,2336,0.43,20.0
Vellmar,Hessen,1968,0.43,107.0
Aichach,Bayern,363,0.42,10.0
Berlin,Berlin,334002,0.42,132.0
Bad Neustadt (Saale),Bayern,322,0.42,27.0
Gifhorn,Niedersachsen,588,0.41,57.0
Chemnitz ,Sachsen,2095,0.4,37.0
Stralsund,Mecklenburg-Vorpommern,507,0.4,21.0
Bebra,Hessen,788,0.4,30.0
Schopfheim,Baden-Württemberg,493,0.4,15.0
Kornwestheim,Baden-Württemberg,1404,0.4,38.0
Mittenwald,Bayern,237,0.39,13.0
Karlsruhe - Mühlburg,Baden-Württemberg,191,0.39,10.0
Rostock-Marienehe,Mecklenburg-Vorpommern,1383,0.39,13.0
Mahlow,Brandenburg,910,0.39,17.0
Halle ,Sachsen-Anhalt,2103,0.38,116.0
Bernburg,Sachsen-Anhalt,418,0.38,18.0
Zeuthen,Brandenburg,1229,0.38,14.0
Oebisfelde,Sachsen-Anhalt,432,0.38,25.0
Bad Oldesloe,Schleswig-Holstein,800,0.38,18.0
Holzminden,Niedersachsen,208,0.37,30.0
Elsterwerda,Brandenburg,426,0.37,19.0
Wolfsburg,Niedersachsen,1325,0.37,35.0
Bad Reichenhall,Bayern,319,0.37,12.0
Böhlen,Sachsen,542,0.36,17.0
Bad Homburg,Hessen,1044,0.36,25.0
Plauen ,Sachsen,496,0.36,16.0
Rostock,Mecklenburg-Vorpommern,11790,0.35,19.0
Hamburg,Hamburg,154840,0.35,42.0
Neuburg an der Donau,Bayern,321,0.35,8.0
Asperg,Baden-Württemberg,584,0.34,24.0
Ratzeburg,Schleswig-Holstein,295,0.34,13.0
Aalen,Baden-Württemberg,813,0.33,15.0
Emmerthal,Niedersachsen,338,0.33,29.0
Bremen,Bremen,9079,0.33,51.0
Herzberg am Harz,Niedersachsen,376,0.32,24.0
Guxhagen,Hessen,716,0.32,19.0
Markkleeberg OT Gaschwitz,Sachsen,786,0.31,29.0
Lutherstadt Wittenberg,Sachsen-Anhalt,445,0.31,10.0
Freudenstadt,Baden-Württemberg,536,0.31,15.0
Sonneberg (Thür),Thüringen,354,0.31,24.0
Eckernförde,Schleswig-Holstein,380,0.31,25.0
Hoppegarten,Brandenburg,2285,0.3,18.0
Diepholz,Niedersachsen,276,0.3,10.0
Wildau,Brandenburg,1060,0.29,10.0
Weischlitz,Sachsen,307,0.28,18.0
Hildesheim,Niedersachsen,1003,0.27,19.0
Ulm,Baden-Württemberg,2172,0.27,83.0
Dessau-Roßlau,Sachsen-Anhalt,897,0.27,36.0
Reinhardsdorf-Schöna,Sachsen,321,0.26,11.0
Eichwalde,Brandenburg,1211,0.26,14.0
Bexbach,Saarland,573,0.26,14.0
Alsfeld,Hessen,282,0.26,16.0
Hof,Bayern,1114,0.25,19.0
Halstenbek,Schleswig-Holstein,2963,0.25,20.0
Lich,Hessen,289,0.25,11.0
Freiberg am Neckar,Baden-Württemberg,681,0.25,14.0
Bad Schwartau,Schleswig-Holstein,962,0.25,20.0
Bremerhaven,Bremen,1349,0.24,26.0
Scharbeutz,Schleswig-Holstein,456,0.24,24.0
Rottenbach,Thüringen,358,0.24,29.0
Althegnenberg,Bayern,365,0.23,40.0
Calbe (Saale),Sachsen-Anhalt,353,0.23,20.0
Braunschweig,Niedersachsen,1436,0.22,33.0
Bad Neuenahr-Ahrweiler,Rheinland-Pfalz,275,0.21,5.0
Ober Roden / Rödermark,Hessen,766,0.21,13.0
Erbach (Württ),Baden-Württemberg,449,0.19,10.0
Ratingen-Hösel,Nordrhein-Westfalen,721,0.19,9.0
Hameln,Niedersachsen,680,0.17,28.0
Quedlinburg,Sachsen-Anhalt,260,0.17,6.0
Ratingen,Nordrhein-Westfalen,740,0.17,11.0
Glauburg,Hessen,388,0.17,23.0
Garmisch-Partenkirchen,Bayern,419,0.15,14.0
Apolda,Thüringen,360,0.15,10.0
Ellwangen,Baden-Württemberg,201,0.15,9.0
Frankfurt (Oder),Brandenburg,716,0.15,20.0
Lindau-Reutin,Bayern,864,0.15,10.0
Hannover-Anderten,Niedersachsen,568,0.14,9.0
Oberhaid,Bayern,295,0.14,15.0
Borna,Sachsen,650,0.12,16.0
Timmendorfer Strand,Schleswig-Holstein,414,0.12,18.0
Seesen,Niedersachsen,501,0.12,9.0
Wernshausen,Thüringen,370,0.1,15.0
Sehnde,Niedersachsen,336,0.1,9.0
Fröttstädt,Thüringen,424,0.1,9.0
Reinbek,Schleswig-Holstein,1046,0.09,13.0
Pforzheim,Baden-Württemberg,1093,0.08,15.0
Meiningen,Thüringen,410,0.07,9.0
Eisenach,Thüringen,453,0.07,16.0
Deggendorf,Bayern,324,0.07,5.0
Gottmadingen,Baden-Württemberg,533,0.06,9.0
Bad Neuenahr,Rheinland-Pfalz,369,0.05,3.0
Wohltorf,Schleswig-Holstein,893,0.05,13.0
Körle,Hessen,461,0.04,6.0
Friedberg,Bayern,588,0.04,10.0
Uelzen,Niedersachsen,612,0.03,16.0
Wickede ,Nordrhein-Westfalen,470,0.03,4.0
Arnsberg,Nordrhein-Westfalen,969,0.03,5.0
Merklingen,Baden-Württemberg,270,0.03,4.0
Wiesthal,Bayern,228,0.02,2.0
Fröndenberg (Ruhr),Nordrhein-Westfalen,971,0.01,3.0
Göttingen,Niedersachsen,766,0.01,2.0
Saalfeld (Saale),Thüringen,635,0.01,2.0
Bad Soden (Taunus),Hessen,554,0.0,0.0
Wedel (Holst),Schleswig-Holstein,1099,0.0,0.0
Aumühle,Schleswig-Holstein,543,0.0,0.0
Kiel,Schleswig-Holstein,1136,0.0,0.0
Hofgeismar-Hümme,Hessen,239,0.0,0.0
Breisach,Baden-Württemberg,357,0.0,0.0
Leipzig-Grünau,Sachsen,374,0.0,0.0
Euskirchen,Nordrhein-Westfalen,1185,0.0,0.0
Cuxhaven,Niedersachsen,258,0.0,0.0
Berchtesgaden,Bayern,113,0.0,0.0
Detmold,Nordrhein-Westfalen,361,0.0,0.0
Passau,Bayern,255,0.0,0.0
Wilhelmshaven,Niedersachsen,248,0.0,0.0
Sylt/ OT Westerland  ,Schleswig-Holstein,234,0.0,0.0
Teltow,Brandenburg,776,0.0,0.0
Furth im Wald,Bayern,153,0.0,0.0
Pirmasens,Rheinland-Pfalz,319,0.0,0.0
Meerbusch,Nordrhein-Westfalen,937,0.0,0.0
Flensburg,Schleswig-Holstein,281,0.0,0.0
Herrsching,Bayern,397,0.0,0.0
Limburg,Hessen,741,0.0,0.0
Wismar,Mecklenburg-Vorpommern,265,0.0,0.0
Gerolstein,Rheinland-Pfalz,394,0.0,0.0
Altenberg,Sachsen,108,0.0,0.0
Blankenburg (Harz),Sachsen-Anhalt,113,0.0,0.0
Thale,Sachsen-Anhalt,130,0.0,0.0
Bad Harzburg,Niedersachsen,367,0.0,0.0
Kronberg (Taunus),Hessen,297,0.0,0.0
Oberstdorf,Bayern,221,0.0,0.0
Filderstadt,Baden-Württemberg,415,0.0,0.0
Hoyerswerda,Sachsen,193,0.0,0.0
Oberding,Bayern,1002,0.0,0.0
Demmin,Mecklenburg-Vorpommern,236,0.0,0.0
Schongau,Bayern,135,0.0,0.0
Weil der Stadt,Baden-Württemberg,523,0.0,0.0
Herten,Nordrhein-Westfalen,222,0.0,0.0
Binz,Mecklenburg-Vorpommern,113,0.0,0.0
