city,state,total_records,avg_arrival_delay,max_arrival_delay
Mosbach-Neckarelz,Baden-Württemberg,1025,2.05,66.0
Peine,Niedersachsen,992,2.04,56.0
Böhl-Iggelheim,Rheinland-Pfalz,363,2.03,53.0
Rees,Nordrhein-Westfalen,307,2.03,21.0
Castrop-Rauxel,Nordrhein-Westfalen,1041,2.03,44.0
Gärtringen,Baden-Württemberg,811,2.03,34.0
Ringsheim,Baden-Württemberg,428,2.03,58.0
Troisdorf,Nordrhein-Westfalen,4385,2.02,77.0
Recklinghausen-Süd,Nordrhein-Westfalen,991,2.02,49.0
Lengerich,Nordrhein-Westfalen,394,2.01,32.0
Plochingen,Baden-Württemberg,2037,2.01,43.0
Greven,Nordrhein-Westfalen,733,2.0,56.0
Seckach,Baden-Württemberg,383,2.0,48.0
Iserlohn,Nordrhein-Westfalen,843,2.0,61.0
Emsdetten,Nordrhein-Westfalen,728,2.0,56.0
Wissen ,Rheinland-Pfalz,591,2.0,43.0
Aßling ,Bayern,330,2.0,52.0
Bad Hönningen,Rheinland-Pfalz,504,1.99,75.0
Zorneding,Bayern,974,1.99,30.0
Tostedt,Niedersachsen,517,1.99,41.0
Osnabrück,Niedersachsen,2301,1.99,110.0
Horb,Baden-Württemberg,634,1.99,35.0
Feldafing,Bayern,814,1.98,31.0
Schöngeising,Bayern,576,1.98,35.0
Hofheim (Taunus),Hessen,1545,1.98,28.0
Heitersheim,Baden-Württemberg,590,1.98,68.0
Hamm ,Nordrhein-Westfalen,1841,1.97,90.0
Schwetzingen,Baden-Württemberg,936,1.97,36.0
Gemünden (Main),Bayern,560,1.97,40.0
Balingen ,Baden-Württemberg,411,1.97,28.0
Gräfelfing,Bayern,1608,1.96,35.0
Münster-Hiltrup,Nordrhein-Westfalen,829,1.96,58.0
Rosenheim,Bayern,932,1.96,140.0
Dülmen,Nordrhein-Westfalen,1407,1.96,25.0
Herbolzheim ,Baden-Württemberg,445,1.96,68.0
Neustrelitz,Mecklenburg-Vorpommern,537,1.96,69.0
Mahlberg-Orschweier,Baden-Württemberg,383,1.96,57.0
Rottendorf,Bayern,625,1.95,42.0
Baden-Baden,Baden-Württemberg,664,1.95,83.0
Windeck,Nordrhein-Westfalen,2853,1.94,43.0
Finnentrop,Nordrhein-Westfalen,618,1.94,66.0
Oberschleißheim,Bayern,1581,1.94,33.0
Drensteinfurt,Nordrhein-Westfalen,830,1.94,58.0
Müllheim ,Baden-Württemberg,553,1.94,55.0
Kahl (Main),Bayern,746,1.93,75.0
Heide,Schleswig-Holstein,759,1.93,48.0
Waren (Müritz),Mecklenburg-Vorpommern,263,1.93,62.0
Mössingen,Baden-Württemberg,451,1.92,36.0
Moosburg,Bayern,977,1.92,44.0
Schwarzenbruck,Bayern,632,1.92,78.0
Wittlich,Rheinland-Pfalz,743,1.92,30.0
Kirchlengern,Nordrhein-Westfalen,660,1.92,48.0
Kenzingen,Baden-Württemberg,487,1.92,69.0
Norden,Niedersachsen,321,1.92,57.0
Siegen,Nordrhein-Westfalen,1719,1.92,66.0
Groß Rohrheim,Hessen,370,1.91,34.0
Wuppertal-Barmen,Nordrhein-Westfalen,2569,1.91,54.0
Riegel,Baden-Württemberg,537,1.9,58.0
Türkenfeld,Bayern,504,1.9,35.0
Gau Algesheim,Rheinland-Pfalz,612,1.9,36.0
Erkelenz,Nordrhein-Westfalen,543,1.9,56.0
Coesfeld,Nordrhein-Westfalen,698,1.89,32.0
Puchheim,Bayern,896,1.89,36.0
Eppstein,Hessen,1780,1.89,24.0
Bodenheim,Rheinland-Pfalz,531,1.89,45.0
Engen ,Baden-Württemberg,609,1.89,55.0
Duisburg,Nordrhein-Westfalen,10661,1.88,157.0
Bad Friedrichshall,Baden-Württemberg,1533,1.88,73.0
Ehningen ,Baden-Württemberg,799,1.88,33.0
Vaterstetten,Bayern,2044,1.88,31.0
Mönchengladbach,Nordrhein-Westfalen,2878,1.88,78.0
Wunstorf,Niedersachsen,984,1.87,56.0
Melle,Niedersachsen,492,1.87,48.0
Weißenburg (Bay),Bayern,365,1.87,44.0
Bad Bevensen,Niedersachsen,299,1.87,38.0
Winden,Rheinland-Pfalz,871,1.87,31.0
Lambrecht,Rheinland-Pfalz,509,1.87,45.0
Wangen,Baden-Württemberg,281,1.86,28.0
Steinbach a Wald,Bayern,243,1.86,55.0
Recklinghausen,Nordrhein-Westfalen,1153,1.86,50.0
Meppen,Niedersachsen,255,1.86,54.0
Esslingen am Neckar,Baden-Württemberg,4674,1.86,42.0
Markt Schwaben,Bayern,1097,1.86,27.0
Wannweil,Baden-Württemberg,473,1.86,31.0
Übach-Palenberg,Nordrhein-Westfalen,820,1.86,57.0
Ehingen (Donau),Baden-Württemberg,478,1.85,51.0
Murnau,Bayern,517,1.85,39.0
Wiesau ,Bayern,403,1.85,57.0
Schwandorf,Bayern,952,1.84,41.0
Tutzing,Bayern,1432,1.84,37.0
Hückelhoven-Baal,Nordrhein-Westfalen,543,1.84,54.0
Schönebeck (Elbe),Sachsen-Anhalt,950,1.84,35.0
Beckum,Nordrhein-Westfalen,515,1.84,29.0
Hamm (Heessen),Nordrhein-Westfalen,508,1.83,29.0
Radolfzell ,Baden-Württemberg,1314,1.83,58.0
Schweinfurt,Bayern,1752,1.83,52.0
Zweibrücken,Rheinland-Pfalz,222,1.83,26.0
Schweich,Rheinland-Pfalz,878,1.83,30.0
Köln,Nordrhein-Westfalen,42809,1.83,88.0
Grafing,Bayern,1810,1.82,53.0
Neckarsulm,Baden-Württemberg,2397,1.81,107.0
Langen,Hessen,1611,1.81,50.0
Mühlhausen / Thüringen,Thüringen,401,1.81,27.0
Heidesheim ,Rheinland-Pfalz,587,1.81,50.0
Unterschleißheim,Bayern,3127,1.81,32.0
Darmstadt,Hessen,4243,1.81,50.0
Wülfrath,Nordrhein-Westfalen,386,1.81,27.0
Ribnitz,Mecklenburg-Vorpommern,184,1.8,34.0
Sömmerda,Thüringen,354,1.79,31.0
Fürstenfeldbruck,Bayern,1919,1.79,36.0
Unna,Nordrhein-Westfalen,1320,1.79,89.0
Edermünde-Grifte,Hessen,300,1.79,30.0
Rotenburg ,Niedersachsen,588,1.78,47.0
Straubing,Bayern,598,1.78,41.0
Erlangen,Bayern,2718,1.78,41.0
Sulzbach (Murr),Baden-Württemberg,515,1.78,57.0
Merzig (Saar),Saarland,618,1.78,50.0
Göppingen,Baden-Württemberg,745,1.78,83.0
Eilsleben (b Magdeburg),Sachsen-Anhalt,184,1.77,20.0
Rockenhausen,Rheinland-Pfalz,361,1.76,37.0
Landau,Rheinland-Pfalz,811,1.76,24.0
Siegburg,Nordrhein-Westfalen,1823,1.76,58.0
Remscheid-Lennep,Nordrhein-Westfalen,800,1.76,42.0
Ergoldsbach,Bayern,479,1.76,44.0
Mörfelden - Walldorf,Hessen,814,1.75,34.0
Meckesheim,Baden-Württemberg,1198,1.75,34.0
Nottuln-Appelhülsen,Nordrhein-Westfalen,491,1.75,22.0
Hoppstädten-Weiersbach,Rheinland-Pfalz,396,1.74,37.0
Bischofsheim,Hessen,1929,1.74,40.0
Löhne,Nordrhein-Westfalen,948,1.74,57.0
Hohenbrunn,Bayern,823,1.74,38.0
Haar,Bayern,1171,1.74,31.0
Rastatt,Baden-Württemberg,1246,1.74,83.0
Allensbach,Baden-Württemberg,746,1.74,57.0
Herford,Nordrhein-Westfalen,1395,1.74,59.0
Remscheid,Nordrhein-Westfalen,954,1.73,42.0
Forchheim (Oberfr),Bayern,1269,1.73,41.0
Overath,Nordrhein-Westfalen,581,1.73,49.0
Gransee,Brandenburg,263,1.73,37.0
Ottobrunn,Bayern,822,1.73,38.0
Seefeld,Bayern,798,1.73,44.0
Hennef (Sieg),Nordrhein-Westfalen,2035,1.72,59.0
Weßling (Oberbay),Bayern,831,1.72,44.0
Sottrum,Niedersachsen,304,1.72,30.0
Wustermark,Brandenburg,995,1.72,39.0
Buchholz i.d.Nordheide,Niedersachsen,1021,1.71,36.0
Gessertshausen,Bayern,501,1.71,52.0
Leutenbach,Baden-Württemberg,851,1.71,41.0
Selters,Hessen,248,1.71,41.0
Kandel,Rheinland-Pfalz,737,1.71,24.0
Rheda -Wiedenbrück,Nordrhein-Westfalen,634,1.71,29.0
Diez,Rheinland-Pfalz,347,1.71,42.0
Kerpen,Nordrhein-Westfalen,2488,1.71,52.0
Ginsheim-Gustavsburg,Hessen,920,1.71,40.0
Wuppertal,Nordrhein-Westfalen,14455,1.71,88.0
Bad Oeynhausen,Nordrhein-Westfalen,665,1.7,64.0
Marl-Sinsen,Nordrhein-Westfalen,831,1.7,49.0
Hausach,Baden-Württemberg,612,1.69,57.0
Gummersbach-Dieringhausen,Nordrhein-Westfalen,389,1.69,26.0
Baiersdorf,Bayern,517,1.69,34.0
Worms,Rheinland-Pfalz,1122,1.68,32.0
Rottweil,Baden-Württemberg,560,1.68,25.0
Mainz,Rheinland-Pfalz,5522,1.68,57.0
Nürtingen,Baden-Württemberg,855,1.68,29.0
Bad Münster am Stein,Rheinland-Pfalz,920,1.68,42.0
Hanau,Hessen,4963,1.67,95.0
Bad Zwischenahn,Niedersachsen,379,1.67,57.0
Neuwied,Rheinland-Pfalz,875,1.66,74.0
Flörsheim (Main),Hessen,504,1.66,24.0
Hochspeyer,Rheinland-Pfalz,590,1.66,45.0
Höhenkirchen-Siegertsbrun,Bayern,1656,1.66,39.0
Bad Hersfeld,Hessen,424,1.66,55.0
Lauda-Königshofen,Baden-Württemberg,652,1.65,42.0
Petershausen (Oberbay),Bayern,842,1.65,71.0
Bischofswerda,Sachsen,679,1.65,62.0
Lahr ,Baden-Württemberg,512,1.65,39.0
Pullach,Bayern,1758,1.64,29.0
Postbauer-Heng,Bayern,632,1.64,77.0
Warburg ,Nordrhein-Westfalen,334,1.64,45.0
Marburg,Hessen,1233,1.64,59.0
Diedorf,Bayern,553,1.63,53.0
Annweiler am Trifels,Rheinland-Pfalz,348,1.63,40.0
Bünde ,Nordrhein-Westfalen,689,1.63,49.0
Königs Wusterhausen,Brandenburg,1287,1.63,47.0
Hünfeld,Hessen,314,1.63,78.0
Cham ,Bayern,455,1.62,51.0
Hochheim (Main),Hessen,879,1.62,48.0
Stadthagen,Niedersachsen,588,1.62,54.0
Ansbach,Bayern,825,1.62,52.0
Bleicherode,Thüringen,252,1.61,20.0
Zapfendorf,Bayern,359,1.61,36.0
Würzburg,Bayern,1886,1.61,57.0
Gengenbach,Baden-Württemberg,510,1.61,57.0
Rüsselsheim,Hessen,3139,1.61,42.0
Ellingen (Bay),Bayern,319,1.6,44.0
Haar b. München,Bayern,1116,1.6,31.0
Albstadt,Baden-Württemberg,336,1.6,24.0
Idar-Oberstein,Rheinland-Pfalz,537,1.6,39.0
Calau ,Brandenburg,455,1.6,39.0
Kelsterbach,Hessen,1230,1.6,31.0
Weilheim ,Bayern,774,1.59,36.0
Schwaan,Mecklenburg-Vorpommern,333,1.59,27.0
Haltern am See,Nordrhein-Westfalen,1051,1.59,30.0
Genthin,Sachsen-Anhalt,298,1.59,43.0
Lahnstein,Rheinland-Pfalz,1124,1.59,39.0
Stemshorn,Niedersachsen,144,1.59,15.0
Fürth,Bayern,3280,1.59,40.0
Heilbronn,Baden-Württemberg,1083,1.58,71.0
Bobenheim,Rheinland-Pfalz,496,1.58,27.0
Langerwehe,Nordrhein-Westfalen,899,1.58,52.0
Raunheim,Hessen,1208,1.58,31.0
Kaub,Rheinland-Pfalz,257,1.57,55.0
Herborn,Hessen,538,1.57,27.0
Waghäusel,Baden-Württemberg,553,1.57,38.0
Waiblingen,Baden-Württemberg,3814,1.57,59.0
Erkrath,Nordrhein-Westfalen,1519,1.56,37.0
Kernen,Baden-Württemberg,856,1.56,30.0
Ruhland,Brandenburg,753,1.56,26.0
Erkrath-Hochdahl,Nordrhein-Westfalen,731,1.56,37.0
Gütersloh,Nordrhein-Westfalen,771,1.56,44.0
Seddin,Brandenburg,392,1.56,32.0
Eching,Bayern,1577,1.55,33.0
Staudernheim,Rheinland-Pfalz,546,1.55,41.0
Schwäbisch Hall,Baden-Württemberg,575,1.55,55.0
Altbach,Baden-Württemberg,877,1.55,39.0
Bad Kreuznach,Rheinland-Pfalz,1056,1.55,45.0
Völklingen,Saarland,1179,1.55,69.0
Burgthann,Bayern,623,1.55,29.0
Werder (Havel),Brandenburg,604,1.54,45.0
Frankenthal,Rheinland-Pfalz,1727,1.54,29.0
Köln-Weiden,Nordrhein-Westfalen,1252,1.54,39.0
Kirchentellinsfurt,Baden-Württemberg,478,1.54,31.0
Maintal,Hessen,1062,1.53,77.0
Neubiberg,Bayern,820,1.53,38.0
St. Michaelisdonn,Schleswig-Holstein,242,1.53,27.0
Radebeul,Sachsen,1834,1.53,45.0
Helmstedt,Niedersachsen,171,1.53,28.0
Öhringen,Baden-Württemberg,760,1.52,110.0
Reichenbach ,Sachsen,496,1.52,33.0
Freising,Bayern,3684,1.52,46.0
Saarburg,Rheinland-Pfalz,486,1.52,49.0
Fellbach,Baden-Württemberg,1711,1.51,41.0
Nordendorf,Bayern,629,1.51,41.0
Geislingen (Steige),Baden-Württemberg,646,1.51,37.0
Leer,Niedersachsen,517,1.51,50.0
Gilching,Bayern,2602,1.51,31.0
Offenbach (Main),Hessen,12828,1.51,93.0
Bad Doberan,Mecklenburg-Vorpommern,280,1.51,90.0
Landstuhl,Rheinland-Pfalz,792,1.51,50.0
Scheeßel,Niedersachsen,323,1.51,21.0
Murrhardt,Baden-Württemberg,524,1.5,57.0
Wiesloch,Baden-Württemberg,959,1.5,36.0
